Time,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8,Chan9,Chan10,Chan11,Chan12,Chan13,Chan14,Chan15,Chan16,Chan17,Chan18,Chan19,Chan20,Chan21,Chan22,Chan23,Chan24,Chan25,Chan26,Chan27,Chan28,Chan29,Chan30,Chan31,Chan32,Chan33
0.03200,0.18972,0.03750,-0.31215,0.50035,0.02226,-0.32391,1.06595,0.13824,0.15833,0.19634,-0.28145,0.10365,0.07698,-0.39726,0.67665,1.98603,-9.33426,3.12664,1.01666,0.37360,-1.10653,0.26660,-1.67765,0.35036,-1.79035,1.17438,0.18646,0.84107,0.11853,0.18104,0.66082,0.22557,-0.30260
0.03400,0.11685,0.13345,-0.06344,0.02849,0.04345,-0.21581,0.18450,0.24487,0.11211,0.29603,-0.25152,0.24320,-0.27035,0.30971,1.97922,2.11993,-6.81054,0.47729,1.39546,0.51602,-1.20049,-0.08224,-1.06477,-0.61629,-0.30135,0.40260,0.65966,0.95360,-0.54203,0.53342,0.64859,0.33524,-0.18801
0.03600,-0.01399,0.00247,0.46202,-0.19235,0.04242,0.34709,0.01890,0.28768,-0.01289,0.19076,-0.04654,0.34089,-0.16756,0.12928,-1.16828,1.85881,0.28299,0.75339,1.35620,-0.20110,-0.55901,-0.96071,0.06531,-1.32919,1.39556,-1.25668,0.75202,-0.30285,-0.41721,0.64905,-0.20141,0.30141,0.06438
0.03800,-0.05811,0.01175,0.57091,-0.13940,0.21259,0.46894,0.08312,0.30091,0.12583,-0.21204,0.16204,0.34753,-0.09232,-0.46676,1.21538,1.78795,0.76671,1.89477,1.02237,-0.26106,0.42826,-1.70632,0.41863,-1.66223,1.09996,0.04263,2.04905,0.09333,-0.06331,0.58715,0.15930,-0.34822,0.30808
0.04000,-0.06250,0.01892,0.12658,-0.07140,0.12512,-0.01417,0.21103,0.28235,0.17625,-0.17130,0.20792,-1.21205,0.00423,0.33776,2.41109,2.74942,-1.19679,2.64725,0.78401,-0.20752,-0.05819,-1.13021,-0.63050,-0.06604,0.86657,0.79177,1.82540,-0.59278,0.25394,0.47118,0.39582,-0.13937,0.26076
0.04200,0.14154,0.06557,-0.21670,-0.02557,-0.22739,0.06050,0.27084,-0.11672,0.11654,0.03071,0.18330,0.07917,-0.21759,0.06379,2.62546,-2.06748,0.03683,2.49325,0.32683,0.01351,-0.87503,-0.02296,-1.13671,1.40403,-1.63166,0.99815,-0.01230,-0.41892,0.41611,-0.28644,0.43560,0.07737,0.06698
0.04400,0.17348,0.11898,0.02989,0.39048,-0.27274,0.12691,0.29552,0.04831,-0.17494,0.24190,0.15203,0.28582,-0.33946,0.60961,7.22955,-2.32997,1.30275,1.62487,1.11858,0.12077,-1.46286,0.33578,-1.42550,0.83125,-0.00043,3.56231,0.56805,-0.27850,0.45563,0.34414,-0.43452,0.21794,-0.01071
0.04600,0.00700,-0.06243,0.17043,0.11263,-0.26446,0.16396,0.28790,0.13167,-0.15865,0.18143,-0.36147,0.34416,-0.35272,0.83929,6.71754,-2.04527,1.92345,0.97404,1.35592,-0.26394,-0.98126,-0.32099,0.08865,1.34196,0.91591,2.95484,-0.15806,-0.14370,0.40340,0.63837,-0.48238,0.17577,-0.04061
0.04800,-0.19364,0.02784,0.21661,-0.49147,-0.06933,0.13750,-0.17963,0.13976,0.00198,-0.00301,0.10521,-0.54466,0.11609,0.83174,-1.07827,-1.01438,1.81135,0.92732,0.85243,-0.39542,-0.02871,-1.18963,1.30318,-1.39280,1.17678,0.37527,-0.32293,0.02904,-0.38155,0.53503,-0.13375,0.01872,0.05168
0.05000,-0.20645,0.00990,0.84182,-0.66283,-0.02386,0.06622,0.03151,-0.24026,0.16099,-0.05414,0.17351,-1.18646,0.05483,1.08289,-1.15828,-0.80291,1.09272,2.57313,-0.48694,-0.31047,0.29952,-1.48243,0.74328,0.37447,4.94291,0.88654,-0.54004,0.23688,0.18448,-0.76601,0.29547,-0.06221,0.19460
0.05200,-0.10342,0.01340,0.64615,-0.17921,-0.03997,0.01574,0.14678,-0.33314,0.11946,-0.24599,0.16520,0.14473,0.01348,1.48108,-0.20384,-0.86391,0.46558,2.99636,-0.50544,-0.18649,-0.33631,-0.03746,1.42070,1.29959,4.02259,0.41772,-0.59388,0.29068,0.48277,-0.81649,0.32897,0.10971,-0.10909
0.05400,0.17416,0.02150,-0.21659,-0.07483,-0.04817,0.00543,0.16591,-0.15946,0.00901,0.06383,-0.16624,0.40428,-0.01071,0.18323,-0.83443,-0.67011,0.66983,1.77919,0.47336,0.04491,-1.04591,1.29988,-1.15893,1.51568,0.53801,-0.14203,-0.35710,-0.37127,0.49981,-0.13824,0.22298,-0.00118,-0.58377
0.05600,-0.01158,-0.09922,-0.47382,-0.04829,-0.05649,0.10602,-0.26285,0.07129,-0.03374,0.11154,-0.32041,0.38730,-0.79008,0.43661,-1.64357,-0.29134,2.15947,-1.19480,1.51923,0.12734,-1.21254,0.92803,0.52451,5.60779,1.02850,-0.69297,0.13235,-0.22555,-0.69388,0.60733,0.16022,0.10414,-0.38957
